month,town,flat_type,block,street_name,storey_range,flat_model,lease_commence_date,remaining_lease,resale_price,,,,,,,,
2018-09,BISHAN,3 ROOM,189,BISHAN ST 13,01 TO 03,Simplified,1988,68 years 09 months,340000,,,,,,,,
2018-09,BISHAN,3 ROOM,304,SHUNFU RD,04 TO 06,New Generation,1985,65 years 06 months,410000,,,,,,,,
2018-09,BISHAN,3 ROOM,308,SHUNFU RD,04 TO 06,New Generation,1984,65 years 03 months,355000,,,,,,,,
2018-09,BISHAN,3 ROOM,22,SIN MING RD,07 TO 09,Improved,1973,54 years 02 months,239000,,,,,,,,
2018-09,BISHAN,4 ROOM,149,BISHAN ST 11,07 TO 09,Simplified,1987,67 years 04 months,455000,,,,,,,,
2018-09,BISHAN,4 ROOM,144,BISHAN ST 12,04 TO 06,Model A,1988,68 years 11 months,530888,,,,,,,,
2018-09,BISHAN,4 ROOM,115,BISHAN ST 12,01 TO 03,Simplified,1986,66 years 05 months,480000,,,,,,,,
2018-09,BISHAN,4 ROOM,106,BISHAN ST 12,10 TO 12,Simplified,1985,66 years 02 months,550000,,,,,,,,
2018-09,BISHAN,4 ROOM,112,BISHAN ST 12,01 TO 03,Simplified,1985,65 years 09 months,470000,,,,,,,,
2018-09,BISHAN,4 ROOM,116,BISHAN ST 12,04 TO 06,Simplified,1985,66 years 02 months,548000,,,,,,,,
2018-09,BISHAN,4 ROOM,106,BISHAN ST 12,07 TO 09,Model A,1985,66 years 02 months,668000,,,,,,,,
2018-09,BISHAN,4 ROOM,180,BISHAN ST 13,04 TO 06,Simplified,1988,68 years 07 months,520000,,,,,,,,
2018-09,BISHAN,4 ROOM,254,BISHAN ST 22,19 TO 21,Model A,1992,72 years 11 months,655000,,,,,,,,
2018-09,BISHAN,4 ROOM,248,BISHAN ST 22,25 TO 27,Model A,1992,72 years 11 months,738000,,,,,,,,
2018-09,BISHAN,4 ROOM,204,BISHAN ST 23,01 TO 03,Model A,1992,72 years 08 months,575000,,,,,,,,
2018-09,BISHAN,4 ROOM,228,BISHAN ST 23,04 TO 06,Model A,1992,72 years 07 months,558000,,,,,,,,
2018-09,BISHAN,4 ROOM,273A,BISHAN ST 24,04 TO 06,DBSS,2011,92 years,735000,,,,,,,,
2018-09,BISHAN,4 ROOM,273A,BISHAN ST 24,31 TO 33,DBSS,2011,92 years,830000,,,,,,,,
2018-09,BISHAN,4 ROOM,267,BISHAN ST 24,04 TO 06,Model A,1992,72 years 11 months,570000,,,,,,,,
2018-09,BISHAN,4 ROOM,273A,BISHAN ST 24,19 TO 21,DBSS,2011,91 years 11 months,810000,,,,,,,,
2018-09,BISHAN,4 ROOM,271,BISHAN ST 24,01 TO 03,Model A,1992,72 years 11 months,580000,,,,,,,,
2018-09,BISHAN,4 ROOM,445,SIN MING AVE,07 TO 09,Model A,1990,70 years 05 months,575000,,,,,,,,
2018-09,BISHAN,4 ROOM,406,SIN MING AVE,07 TO 09,Simplified,1987,67 years 07 months,483000,,,,,,,,
2018-09,BISHAN,5 ROOM,127,BISHAN ST 12,04 TO 06,Improved,1986,67 years 03 months,735000,,,,,,,,
2018-09,BISHAN,5 ROOM,103,BISHAN ST 12,07 TO 09,Improved,1986,67 years 02 months,730000,,,,,,,,
2018-09,BISHAN,5 ROOM,166,BISHAN ST 13,07 TO 09,Improved,1987,68 years 04 months,725000,,,,,,,,
2018-09,BISHAN,5 ROOM,158,BISHAN ST 13,19 TO 21,Improved,1988,68 years 06 months,728000,,,,,,,,
2018-09,BISHAN,5 ROOM,167,BISHAN ST 13,01 TO 03,Improved,1988,69 years,630000,,,,,,,,
2018-09,BISHAN,5 ROOM,179,BISHAN ST 13,07 TO 09,Improved,1987,67 years 11 months,760000,,,,,,,,
2018-09,BISHAN,5 ROOM,165,BISHAN ST 13,13 TO 15,Improved,1988,69 years,778000,,,,,,,,
2018-09,BISHAN,5 ROOM,203,BISHAN ST 23,10 TO 12,Model A,1992,72 years 08 months,850000,,,,,,,,
2018-09,BISHAN,5 ROOM,223,BISHAN ST 23,01 TO 03,Improved,1992,72 years 11 months,818000,,,,,,,,
2018-09,BISHAN,5 ROOM,273B,BISHAN ST 24,28 TO 30,DBSS,2011,92 years,1080000,,,,,,,,
2018-09,BISHAN,5 ROOM,273B,BISHAN ST 24,16 TO 18,DBSS,2011,91 years 11 months,990000,,,,,,,,
2018-09,BISHAN,5 ROOM,275A,BISHAN ST 24,22 TO 24,DBSS,2011,91 years 11 months,1000000,,,,,,,,
2018-09,BISHAN,5 ROOM,312,SHUNFU RD,04 TO 06,Improved,1985,65 years 10 months,750000,,,,,,,,
2018-09,BISHAN,5 ROOM,310,SHUNFU RD,10 TO 12,Improved,1984,65 years 03 months,711000,,,,,,,,
2018-09,BISHAN,5 ROOM,310,SHUNFU RD,01 TO 03,Improved,1984,65 years 03 months,708000,,,,,,,,
2018-09,BISHAN,5 ROOM,442,SIN MING AVE,16 TO 18,Improved,1990,70 years 06 months,730000,,,,,,,,
2018-09,BISHAN,5 ROOM,408,SIN MING AVE,22 TO 24,Improved,1986,66 years 09 months,718000,,,,,,,,
2018-09,BISHAN,5 ROOM,405,SIN MING AVE,19 TO 21,Improved,1986,66 years 09 months,750000,,,,,,,,
2018-09,BISHAN,5 ROOM,453,SIN MING AVE,04 TO 06,Improved,1990,70 years 05 months,720000,,,,,,,,
2018-09,BISHAN,5 ROOM,22,SIN MING RD,04 TO 06,Adjoined flat,1973,54 years 01 month,515000,,,,,,,,
2018-09,BISHAN,EXECUTIVE,187,BISHAN ST 13,07 TO 09,Apartment,1987,67 years 06 months,900000,,,,,,,,
2018-09,BISHAN,EXECUTIVE,231,BISHAN ST 23,01 TO 03,Maisonette,1992,72 years 08 months,875000,,,,,,,,
2018-09,BISHAN,EXECUTIVE,231,BISHAN ST 23,04 TO 06,Maisonette,1992,72 years 07 months,890000,,,,,,,,
2018-10,BISHAN,3 ROOM,105,BISHAN ST 12,07 TO 09,Simplified,1985,66 years 03 months,417000,,,,,,,,
2018-10,BISHAN,3 ROOM,24,SIN MING RD,01 TO 03,Improved,1973,54 years 01 month,260000,,,,,,,,
2018-10,BISHAN,4 ROOM,148,BISHAN ST 11,07 TO 09,Simplified,1987,67 years 09 months,465000,,,,,,,,
2018-10,BISHAN,4 ROOM,151,BISHAN ST 11,04 TO 06,Simplified,1989,69 years 05 months,395000,,,,,,,,
2018-10,BISHAN,4 ROOM,127,BISHAN ST 12,10 TO 12,Simplified,1986,67 years 02 months,465000,,,,,,,,
2018-10,BISHAN,4 ROOM,107,BISHAN ST 12,10 TO 12,Model A,1985,66 years 01 month,673000,,,,,,,,
2018-10,BISHAN,4 ROOM,113,BISHAN ST 12,10 TO 12,Simplified,1986,66 years 03 months,548000,,,,,,,,
2018-10,BISHAN,4 ROOM,259,BISHAN ST 22,07 TO 09,Model A,1992,72 years 10 months,585000,,,,,,,,
2018-10,BISHAN,4 ROOM,236,BISHAN ST 22,07 TO 09,Model A,1992,72 years 07 months,605000,,,,,,,,
2018-10,BISHAN,4 ROOM,235,BISHAN ST 22,10 TO 12,Model A,1992,72 years 06 months,613000,,,,,,,,
2018-10,BISHAN,4 ROOM,293,BISHAN ST 22,22 TO 24,Premium Apartment,1998,78 years 08 months,755000,,,,,,,,
2018-10,BISHAN,4 ROOM,206,BISHAN ST 23,01 TO 03,Model A,1992,72 years 07 months,581888,,,,,,,,
2018-10,BISHAN,4 ROOM,272,BISHAN ST 24,10 TO 12,Model A,1992,72 years 10 months,609000,,,,,,,,
2018-10,BISHAN,4 ROOM,272,BISHAN ST 24,04 TO 06,Model A,1992,72 years 10 months,572000,,,,,,,,
2018-10,BISHAN,4 ROOM,268,BISHAN ST 24,01 TO 03,Model A,1992,72 years 09 months,518000,,,,,,,,
2018-10,BISHAN,4 ROOM,312,SHUNFU RD,07 TO 09,New Generation,1985,65 years 08 months,573000,,,,,,,,
2018-10,BISHAN,4 ROOM,403,SIN MING AVE,07 TO 09,Simplified,1986,66 years 10 months,522000,,,,,,,,
2018-10,BISHAN,4 ROOM,449,SIN MING AVE,04 TO 06,Model A,1990,70 years 05 months,548000,,,,,,,,
